WARNING: File RAM_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 23 cannot be opened for reading. Please ensure that this file is available in the current working directory.
WARNING: File RegFile_Data.txt referenced on C:/Users/pkran/RISC_complete_simu/RISC_complete_simu.srcs/sim_1/new/test_bench_top_level.v at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
CLK = 0000000000000000000000000000000000000000000000000000000000000000 RST = 0 PC_out = 1 RAM_Addr =          x RAM_Data =          x RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = x RAM_out = x IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = x RegData = x RegAddr =          x A_Reg =          x B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          x ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = x OF = x BF = x EPC_EN = x CAUSE_EN = x STATE = x x

CLK = 0000000000000000000000000000000000000000000000000000000001111101 RST = 1 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          2 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          1 NF = 00000000000000000000000000000010 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000010010110 RST = 0 PC_out = 1 RAM_Addr =          1 RAM_Data =          1 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          2 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          1 ALU_OUT =          1 NF = 00000000000000000000000000000010 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000010101111 RST = 1 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000011001000 RST = 0 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000011100001 RST = 1 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000000011111010 RST = 0 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000000100010011 RST = 1 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          3 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          1 NF = 00000000000000000000000000000011 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000100101100 RST = 0 PC_out = 1 RAM_Addr =          2 RAM_Data =          2 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          3 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          2 ALU_OUT =          1 NF = 00000000000000000000000000000011 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000101000101 RST = 1 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000101011110 RST = 0 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000101110111 RST = 1 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000000110010000 RST = 0 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000000110101001 RST = 1 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          4 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          1 NF = 00000000000000000000000000000100 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000111000010 RST = 0 PC_out = 1 RAM_Addr =          3 RAM_Data =          3 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          4 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          3 ALU_OUT =          1 NF = 00000000000000000000000000000100 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000000111011011 RST = 1 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000000111110100 RST = 0 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001000001101 RST = 1 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001000100110 RST = 0 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001000111111 RST = 1 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          5 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          1 NF = 00000000000000000000000000000101 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001001011000 RST = 0 PC_out = 1 RAM_Addr =          4 RAM_Data =          4 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          5 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          4 ALU_OUT =          1 NF = 00000000000000000000000000000101 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001001110001 RST = 1 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001010001010 RST = 0 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001010100011 RST = 1 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001010111100 RST = 0 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001011010101 RST = 1 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          6 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          1 NF = 00000000000000000000000000000110 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001011101110 RST = 0 PC_out = 1 RAM_Addr =          5 RAM_Data =          5 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 1 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          6 A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          5 ALU_OUT =          1 NF = 00000000000000000000000000000110 ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 0

CLK = 0000000000000000000000000000000000000000000000000000001100000111 RST = 1 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001100100000 RST = 0 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 0 STATE = 0 1

CLK = 0000000000000000000000000000000000000000000000000000001100111001 RST = 1 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

CLK = 0000000000000000000000000000000000000000000000000000001101010010 RST = 0 PC_out = 1 RAM_Addr =          6 RAM_Data =          6 RAM_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx RAM_OE = 0 RAM_out = 0 IR_out = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_WS = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx REG_OE = 0 RegData = 1 RegAddr =          x A_Reg =          X B_Reg =          x ALU_OPR1 =          x ALU_OPR2 =          6 ALU_OUT =          x NF = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ZF = 0 OF = 0 BF = 0 EPC_EN = 0 CAUSE_EN = 1 STATE = 135

